site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
eNKI,23.0,52.0,156,29.0,3
eNKI,23.0,53.0,156,30.0,3
eNKI,23.0,54.0,234,31.0,3
eNKI,23.0,55.0,168,32.0,3
eNKI,23.0,56.0,168,33.0,3
eNKI,23.0,57.0,216,34.0,3
eNKI,23.0,58.0,184,35.0,3
eNKI,23.0,59.0,184,36.0,3
eNKI,23.0,60.0,264,37.0,3
eNKI,23.0,61.0,204,38.0,3
eNKI,23.0,62.0,204,39.0,3
eNKI,23.0,63.0,306,40.0,3
eNKI,23.0,64.0,228,41.0,3
eNKI,23.0,65.0,228,42.0,3
eNKI,23.0,66.0,342,43.0,3
eNKI,23.0,67.0,228,44.0,3
eNKI,23.0,68.0,228,45.0,3
eNKI,23.0,69.0,342,46.0,3
eNKI,23.0,70.0,216,47.0,3
eNKI,23.0,71.0,216,48.0,3
eNKI,23.0,72.0,324,49.0,3
eNKI,23.0,73.0,260,50.0,3
eNKI,23.0,74.0,260,51.0,3
eNKI,23.0,75.0,390,52.0,3
eNKI,23.0,76.0,276,53.0,3
eNKI,23.0,77.0,276,54.0,3
eNKI,23.0,78.0,414,55.0,3
eNKI,23.0,79.0,304,56.0,3
eNKI,23.0,80.0,304,57.0,3
eNKI,23.0,81.0,444,58.0,3
eNKI,23.0,82.0,304,59.0,3
eNKI,23.0,83.0,304,60.0,3
eNKI,23.0,84.0,420,61.0,3
eNKI,23.0,85.0,344,62.0,3
eNKI,24.0,26.0,22,2.0,3
eNKI,24.0,27.0,44,3.0,3
eNKI,24.0,28.0,66,4.0,3
eNKI,24.0,29.0,76,5.0,3
eNKI,24.0,30.0,76,6.0,3
eNKI,24.0,31.0,90,7.0,3
eNKI,24.0,32.0,96,8.0,3
eNKI,24.0,33.0,96,9.0,3
eNKI,24.0,34.0,108,10.0,3
eNKI,24.0,35.0,100,11.0,3
eNKI,24.0,36.0,100,12.0,3
eNKI,24.0,37.0,114,13.0,3
eNKI,24.0,38.0,104,14.0,3
eNKI,24.0,39.0,104,15.0,3
eNKI,24.0,40.0,120,16.0,3
eNKI,24.0,41.0,108,17.0,3
eNKI,24.0,42.0,108,18.0,3
eNKI,24.0,43.0,156,19.0,3
eNKI,24.0,44.0,132,20.0,3
eNKI,24.0,45.0,132,21.0,3
eNKI,24.0,46.0,174,22.0,3
eNKI,24.0,47.0,128,23.0,3
eNKI,24.0,48.0,128,24.0,3
eNKI,24.0,49.0,186,25.0,3
eNKI,24.0,50.0,140,26.0,3
eNKI,24.0,51.0,140,27.0,3
eNKI,24.0,52.0,210,28.0,3
eNKI,24.0,53.0,156,29.0,3
eNKI,24.0,54.0,156,30.0,3
eNKI,24.0,55.0,216,31.0,3
eNKI,24.0,56.0,176,32.0,3
eNKI,24.0,57.0,176,33.0,3
eNKI,24.0,58.0,258,34.0,3
eNKI,24.0,59.0,184,35.0,3
eNKI,24.0,60.0,184,36.0,3
eNKI,24.0,61.0,270,37.0,3
eNKI,24.0,62.0,212,38.0,3
eNKI,24.0,63.0,212,39.0,3
eNKI,24.0,64.0,306,40.0,3
eNKI,24.0,65.0,216,41.0,3
eNKI,24.0,66.0,216,42.0,3
eNKI,24.0,67.0,324,43.0,3
eNKI,24.0,68.0,204,44.0,3
eNKI,24.0,69.0,204,45.0,3
eNKI,24.0,70.0,306,46.0,3
eNKI,24.0,71.0,220,47.0,3
eNKI,24.0,72.0,220,48.0,3
eNKI,24.0,73.0,330,49.0,3
eNKI,24.0,74.0,256,50.0,3
eNKI,24.0,75.0,256,51.0,3
eNKI,24.0,76.0,384,52.0,3
eNKI,24.0,77.0,280,53.0,3
eNKI,24.0,78.0,280,54.0,3
eNKI,24.0,79.0,420,55.0,3
eNKI,24.0,80.0,284,56.0,3
eNKI,24.0,81.0,284,57.0,3
eNKI,24.0,82.0,420,58.0,3
eNKI,24.0,83.0,312,59.0,3
eNKI,24.0,84.0,312,60.0,3
eNKI,24.0,85.0,402,61.0,3
eNKI,25.0,27.0,26,2.0,3
eNKI,25.0,28.0,52,3.0,3
eNKI,25.0,29.0,78,4.0,3
eNKI,25.0,30.0,76,5.0,3
eNKI,25.0,31.0,76,6.0,3
eNKI,25.0,32.0,78,7.0,3
eNKI,25.0,33.0,80,8.0,3
eNKI,25.0,34.0,80,9.0,3
eNKI,25.0,35.0,96,10.0,3
eNKI,25.0,36.0,92,11.0,3
eNKI,25.0,37.0,92,12.0,3
eNKI,25.0,38.0,102,13.0,3
eNKI,25.0,39.0,92,14.0,3
eNKI,25.0,40.0,92,15.0,3
eNKI,25.0,41.0,114,16.0,3
eNKI,25.0,42.0,104,17.0,3
eNKI,25.0,43.0,104,18.0,3
eNKI,25.0,44.0,156,19.0,3
eNKI,25.0,45.0,120,20.0,3
eNKI,25.0,46.0,120,21.0,3
eNKI,25.0,47.0,162,22.0,3
eNKI,25.0,48.0,112,23.0,3
eNKI,25.0,49.0,112,24.0,3
eNKI,25.0,50.0,168,25.0,3
eNKI,25.0,51.0,140,26.0,3
eNKI,25.0,52.0,140,27.0,3
eNKI,25.0,53.0,210,28.0,3
eNKI,25.0,54.0,156,29.0,3
eNKI,25.0,55.0,156,30.0,3
eNKI,25.0,56.0,210,31.0,3
eNKI,25.0,57.0,176,32.0,3
eNKI,25.0,58.0,176,33.0,3
eNKI,25.0,59.0,234,34.0,3
eNKI,25.0,60.0,188,35.0,3
eNKI,25.0,61.0,188,36.0,3
eNKI,25.0,62.0,282,37.0,3
eNKI,25.0,63.0,212,38.0,3
eNKI,25.0,64.0,212,39.0,3
eNKI,25.0,65.0,306,40.0,3
eNKI,25.0,66.0,200,41.0,3
eNKI,25.0,67.0,200,42.0,3
eNKI,25.0,68.0,300,43.0,3
eNKI,25.0,69.0,216,44.0,3
eNKI,25.0,70.0,216,45.0,3
eNKI,25.0,71.0,324,46.0,3
eNKI,25.0,72.0,252,47.0,3
eNKI,25.0,73.0,252,48.0,3
eNKI,25.0,74.0,378,49.0,3
eNKI,25.0,75.0,268,50.0,3
eNKI,25.0,76.0,268,51.0,3
eNKI,25.0,77.0,402,52.0,3
eNKI,25.0,78.0,276,53.0,3
eNKI,25.0,79.0,276,54.0,3
eNKI,25.0,80.0,414,55.0,3
eNKI,25.0,81.0,288,56.0,3
eNKI,25.0,82.0,288,57.0,3
eNKI,25.0,83.0,414,58.0,3
eNKI,25.0,84.0,328,59.0,3
eNKI,25.0,85.0,328,60.0,3
eNKI,26.0,28.0,30,2.0,3
eNKI,26.0,29.0,56,3.0,3
eNKI,26.0,30.0,60,4.0,3
eNKI,26.0,31.0,60,5.0,3
eNKI,26.0,32.0,60,6.0,3
eNKI,26.0,33.0,84,7.0,3
eNKI,26.0,34.0,76,8.0,3
eNKI,26.0,35.0,76,9.0,3
eNKI,26.0,36.0,90,10.0,3
eNKI,26.0,37.0,84,11.0,3
eNKI,26.0,38.0,84,12.0,3
eNKI,26.0,39.0,120,13.0,3
eNKI,26.0,40.0,88,14.0,3
eNKI,26.0,41.0,88,15.0,3
eNKI,26.0,42.0,114,16.0,3
eNKI,26.0,43.0,120,17.0,3
eNKI,26.0,44.0,120,18.0,3
eNKI,26.0,45.0,156,19.0,3
eNKI,26.0,46.0,104,20.0,3
eNKI,26.0,47.0,104,21.0,3
eNKI,26.0,48.0,156,22.0,3
eNKI,26.0,49.0,124,23.0,3
eNKI,26.0,50.0,124,24.0,3
eNKI,26.0,51.0,186,25.0,3
eNKI,26.0,52.0,144,26.0,3
eNKI,26.0,53.0,144,27.0,3
eNKI,26.0,54.0,210,28.0,3
eNKI,26.0,55.0,168,29.0,3
eNKI,26.0,56.0,168,30.0,3
eNKI,26.0,57.0,198,31.0,3
eNKI,26.0,58.0,168,32.0,3
eNKI,26.0,59.0,168,33.0,3
eNKI,26.0,60.0,252,34.0,3
eNKI,26.0,61.0,196,35.0,3
eNKI,26.0,62.0,196,36.0,3
eNKI,26.0,63.0,276,37.0,3
eNKI,26.0,64.0,188,38.0,3
eNKI,26.0,65.0,188,39.0,3
eNKI,26.0,66.0,282,40.0,3
eNKI,26.0,67.0,204,41.0,3
eNKI,26.0,68.0,204,42.0,3
eNKI,26.0,69.0,306,43.0,3
eNKI,26.0,70.0,212,44.0,3
eNKI,26.0,71.0,212,45.0,3
eNKI,26.0,72.0,318,46.0,3
